altitud,pendiente,orientacion,is_fire,date,geometry,t_max,u,v,specific_humidity,relative_humidity
3.15575,4.5533986,349.92096,False,2017-11-22 01:48:30,POINT (5.936837763487199 38.85060076622307),288.909423828125,-2.4592249393463135,3.9980201721191406,0.007875215262174606,71.32293701171875
226.06274,57.93787,36.49715,False,2011-01-30 16:07:57,POINT (5.91636502537917 38.79926674682513),285.714111328125,6.514031887054443,0.18855713307857513,0.00444389134645462,48.99674987792969
43.09325,21.402308,318.53027,False,1998-09-14 12:51:35,POINT (5.896023552951043 38.84135031978212),293.89697265625,-1.4735044240951538,-3.642845869064331,0.007658462971448898,52.5904541015625
135.92775,64.63264,258.05524,False,2015-07-11 12:35:10,POINT (5.877214275022733 38.87483400677493),296.72021484375,-0.568385660648346,-2.751269578933716,0.0143207348883152,80.71524047851562
517.7543,74.15042,205.41696,False,2004-04-02 12:53:51,POINT (5.911115723502579 38.80606452106833),287.415283203125,-1.3824496269226074,3.6729562282562256,0.007607962936162949,76.11634826660156
44.2825,1.3298492,345.82663,False,2019-03-28 12:18:16,POINT (5.895100123377262 38.84272459811632),284.9169921875,-2.78084659576416,-5.55149507522583,0.005281947553157806,62.23628234863281
30.68475,1.4703377,77.754074,False,2007-05-15 12:28:44,POINT (5.888488007807873 38.85297865267063),288.6572265625,-0.936108410358429,-4.1749267578125,0.006304420530796051,58.196529388427734
66.92,61.345043,206.18904,False,2009-11-01 20:53:57,POINT (5.892091019142937 38.8637003550604),289.483154296875,0.11500262469053268,-0.7327205538749695,0.00837993249297142,73.130126953125
0.91875,0.9189685,132.90546,False,2004-06-04 19:24:19,POINT (5.937579709072548 38.85742896245311),291.573974609375,4.973283767700195,-8.47498893737793,0.008360788226127625,63.82545471191406
13.4595,16.399557,24.324326,False,2013-06-02 15:26:29,POINT (5.908853681871051 38.88621178237164),291.567138671875,4.623706340789795,-3.135666847229004,0.007252924144268036,55.63838195800781
0.53975,0.27778152,87.42092,False,2003-05-19 05:06:08,POINT (5.948467901665201 38.85742463826338),291.7802734375,-2.44917368888855,4.515827178955078,0.008461706340312958,62.872589111328125
144.261,10.213464,62.62068,False,2015-01-24 06:40:45,POINT (5.925753118679058 38.83876198645999),284.225341796875,8.081221580505371,-14.346427917480469,0.0038652976509183645,47.75749206542969
90.442,0.54520786,13.316727,False,2016-07-09 08:55:13,POINT (5.86120434099208 38.8836962686612),298.067626953125,-3.936835289001465,-2.5030295848846436,0.008912652730941772,44.47610855102539
87.30125,12.757131,192.7395,False,2012-01-24 12:03:09,POINT (5.864496674762973 38.84370494139921),285.70068359375,7.183282375335693,-12.045150756835938,0.005272708833217621,60.57765197753906
511.398,52.13355,28.66362,True,2015-05-14 00:00:00,POINT (5.847386248647435 38.8219609518522),300.22705078125,4.39523983001709,6.352510452270508,0.005197577178478241,27.49200439453125
100.05525,3.61745,49.863483,False,1995-09-05 10:00:02,POINT (5.936636424125503 38.81069566410854),296.905029296875,9.020012855529785,0.9605646133422852,0.012236025184392929,68.49406433105469
78.82225,5.762067,40.627544,False,2012-12-11 06:55:26,POINT (5.86842706169134 38.84117593585842),284.713623046875,3.548140525817871,-8.2247896194458,0.004056662321090698,52.37944030761719
1.5945001,0.41923025,106.54396,False,2003-07-20 17:10:52,POINT (5.950022692867597 38.88387180029211),300.9677734375,-6.574265956878662,2.0677490234375,0.012900430709123611,55.38832092285156
151.18225,46.477818,268.18375,False,2005-09-18 12:39:40,POINT (5.93553372693061 38.84270561025266),293.150146484375,-1.3839632272720337,-7.92675256729126,0.008876308798789978,61.19230651855469
130.97226,13.0998125,312.71484,False,2002-03-29 17:01:54,POINT (5.88638213346135 38.86785075660102),286.4189453125,-16.638290405273438,5.337337493896484,0.006517820060253143,70.74526977539062
1.0715001,1.130487,346.80118,False,2012-02-29 10:53:28,POINT (5.954347110102479 38.85610477350597),282.979736328125,1.4090728759765625,-0.025109896436333656,0.004987362772226334,66.11570739746094
114.004745,29.790344,355.56723,False,2009-09-03 14:42:00,POINT (5.912278072551877 38.82752229502027),298.400390625,2.1848771572113037,0.45886096358299255,0.0164194218814373,81.29338073730469
118.5875,63.618958,82.56261,True,1993-09-12 00:00:00,POINT (5.893195137924862 38.87529472156896),296.574462890625,2.0706281661987305,2.396953582763672,0.013072650879621506,73.03791809082031
3.55375,0.5063851,109.0164,False,2016-07-10 21:24:03,POINT (5.912200079668227 38.86937146013369),297.203369140625,-4.068064212799072,-3.2508022785186768,0.014599829912185669,78.434326171875
85.66775,3.6628222,49.178387,False,2007-09-02 07:25:43,POINT (5.852812204181036 38.87273040610521),295.619873046875,1.415878176689148,-5.873687744140625,0.009944390505552292,59.421016693115234
84.34375,5.861132,66.422806,False,2018-02-16 18:52:43,POINT (5.945203910434263 38.81741681206153),287.9697265625,0.43891850113868713,1.212177038192749,0.005247138440608978,50.2257080078125
30.019249,2.8890476,355.62033,False,2009-04-10 21:20:51,POINT (5.897642907186079 38.84860751303241),287.44384765625,-5.207083702087402,3.9184024333953857,0.00709923729300499,77.00718688964844
193.9745,62.304325,215.15802,False,1997-10-17 15:16:18,POINT (5.926108322159868 38.82213131832447),293.241943359375,-5.626762390136719,3.457122564315796,0.009079806506633759,63.314727783203125
155.69325,43.292374,64.9549,False,2011-03-12 21:31:22,POINT (5.856247673987006 38.86498857883557),288.674560546875,-7.111878871917725,8.6871337890625,0.0075903828255832195,71.19290161132812
